City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Fort Nelson,CA,38.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
328,Shelburne,CA,33.76,few clouds,44.0787,-80.2041,The Retreat at the Farm
329,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
330,Batemans Bay,AU,65.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
332,Loukisia,GR,54.18,clear sky,38.4833,23.45,ΚΤΗΜΑ ΑΝΘΗΔΩΝ
333,Cidreira,BR,68.72,overcast clouds,-30.1811,-50.2056,Hotel Castelo
335,Faya,SA,59.52,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
336,Banovici,BA,25.25,clear sky,44.4053,18.5242,Frizerski salon Litva
337,Nago,JP,68.45,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
338,Asau,RO,32.92,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
339,Ocean City,US,49.01,few clouds,39.2776,-74.5746,Biscayne Suites
340,Rantepao,ID,76.78,broken clouds,-2.9701,119.8978,Hotel Luta Resort
341,Husavik,IS,26.42,light snow,66.0449,-17.3389,Bjarnabúð
342,Wanning,CN,70.81,overcast clouds,18.8003,110.3967,Paradise Hotel
343,Imeni Poliny Osipenko,RU,39.24,overcast clouds,52.4201,136.4853,Yubileynaya
344,Japura,ID,76.66,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
345,Mao,ES,48.76,scattered clouds,39.8885,4.2658,ARTIEM Capri
346,Sovetskiy,RU,34.74,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
347,Katsuura,JP,56.46,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
349,Nichinan,JP,56.88,clear sky,31.6,131.3667,Guest House Aki
350,Gaurela,IN,75.6,clear sky,22.75,81.9,PWI OFFICE PENDRAROAD
351,Bandarbeyla,SO,76.1,clear sky,9.4942,50.8122,JABIR HOTEL
352,Makasar,ID,82.45,few clouds,-5.14,119.4221,Aryaduta Makassar
